"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "XML", "SCSS", "PostCSS", "vue", "comment", "blank", "total"
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_list-group.scss", "SCSS", 0, 0, 0, 0, 0, 18, 0, 0, 3, 4, 25
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_lists.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 2, 2, 8
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 4, 4, 32
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_reset-text.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_resize.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 1, 2, 7
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_table-variants.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 2, 3, 22
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_text-truncate.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 2, 2, 9
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_transition.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 0, 1, 4, 27
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 45, 0, 0, 11, 13, 69
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_visually-hidden.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 9, 5, 30
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\utilities\_api.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 12, 7, 48
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\vendor\_rfs.scss", "SCSS", 0, 0, 0, 0, 0, 202, 0, 0, 52, 59, 313
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\js\app.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 25, 9, 40
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\js\bootstrap.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 23, 8, 35
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\js\components\ExampleComponent.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\sass\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 2, 2, 8
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\sass\app.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 3, 3, 9
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 0, 1, 12, 28
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_accordion.scss", "SCSS", 0, 0, 0, 0, 0, 89, 0, 0, 8, 22, 119
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\resources\scss\bootstrap\scss\_alert.scss", "SCSS", 0, 0, 0, 0, 0, 34, 0, 0, 13, 11, 58
